sku;parent;brand;categories;collection;color;composition;description-de_DE-ecommerce;description-en_US-ecommerce;description-fr_FR-ecommerce;ean;enabled;erp_name-de_DE;erp_name-en_US;erp_name-fr_FR;eu_shoes_size;family;groups;image;keywords-de_DE;keywords-en_US;keywords-fr_FR;material;meta_description-de_DE;meta_description-en_US;meta_description-fr_FR;meta_title-de_DE;meta_title-en_US;meta_title-fr_FR;name;notice;price-EUR;price-USD;size;sole_composition;supplier;top_composition;variation_image;variation_name-de_DE;variation_name-en_US;variation_name-fr_FR;weight;weight-unit
Running-shoes-s-red27;Model-running-shoes-s27;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890381;27;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red28;Model-running-shoes-s28;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890382;28;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red29;Model-running-shoes-s29;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890383;29;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red30;Model-running-shoes-s30;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890384;30;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red31;Model-running-shoes-s31;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890385;31;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red32;Model-running-shoes-s32;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890386;32;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red33;Model-running-shoes-s33;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890387;33;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red34;Model-running-shoes-s34;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890388;34;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red35;Model-running-shoes-s35;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890389;35;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red36;Model-running-shoes-s36;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890390;36;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red37;Model-running-shoes-s37;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890391;37;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red38;Model-running-shoes-s38;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890392;38;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red39;Model-running-shoes-s39;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890393;39;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red40;Model-running-shoes-s40;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890394;40;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red41;Model-running-shoes-s41;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890395;41;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red42;Model-running-shoes-s42;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890396;42;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red43;Model-running-shoes-s43;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890397;43;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red44;Model-running-shoes-s44;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890398;44;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red45;Model-running-shoes-s45;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890399;45;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red46;Model-running-shoes-s46;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890400;46;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red47;Model-running-shoes-s47;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890401;47;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red48;Model-running-shoes-s48;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890402;48;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red49;Model-running-shoes-s49;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890403;49;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red50;Model-running-shoes-s50;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890404;50;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red51;Model-running-shoes-s51;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890405;51;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red52;Model-running-shoes-s52;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890406;52;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red53;Model-running-shoes-s53;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890407;53;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red54;Model-running-shoes-s54;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890408;54;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red55;Model-running-shoes-s55;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890409;55;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red56;Model-running-shoes-s56;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890410;56;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red57;Model-running-shoes-s57;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890411;57;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red58;Model-running-shoes-s58;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890412;58;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red59;Model-running-shoes-s59;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890413;59;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red60;Model-running-shoes-s60;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890414;60;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red61;Model-running-shoes-s61;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890415;61;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red62;Model-running-shoes-s62;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890416;62;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red63;Model-running-shoes-s63;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890417;63;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red64;Model-running-shoes-s64;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890418;64;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red65;Model-running-shoes-s65;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890419;65;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red66;Model-running-shoes-s66;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890420;66;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red67;Model-running-shoes-s67;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890421;67;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red68;Model-running-shoes-s68;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890422;68;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red69;Model-running-shoes-s69;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890423;69;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red70;Model-running-shoes-s70;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890424;70;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red71;Model-running-shoes-s71;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890425;71;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red72;Model-running-shoes-s72;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890426;72;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red73;Model-running-shoes-s73;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890427;73;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red74;Model-running-shoes-s74;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890428;74;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red75;Model-running-shoes-s75;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890429;75;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red76;Model-running-shoes-s76;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890430;76;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red77;Model-running-shoes-s77;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890431;77;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red78;Model-running-shoes-s78;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890432;78;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red79;Model-running-shoes-s79;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890433;79;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red80;Model-running-shoes-s80;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890434;80;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red81;Model-running-shoes-s81;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890435;81;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red82;Model-running-shoes-s82;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890436;82;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red83;Model-running-shoes-s83;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890437;83;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red84;Model-running-shoes-s84;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890438;84;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red85;Model-running-shoes-s85;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890439;85;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red86;Model-running-shoes-s86;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890440;86;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red87;Model-running-shoes-s87;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890441;87;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red88;Model-running-shoes-s88;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890442;88;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red89;Model-running-shoes-s89;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890443;89;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red90;Model-running-shoes-s90;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890444;90;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red91;Model-running-shoes-s91;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890445;91;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red92;Model-running-shoes-s92;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890446;92;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red93;Model-running-shoes-s93;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890447;93;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red94;Model-running-shoes-s94;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890448;94;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red95;Model-running-shoes-s95;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890449;95;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red96;Model-running-shoes-s96;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890450;96;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red97;Model-running-shoes-s97;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890451;97;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red98;Model-running-shoes-s98;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890452;98;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red99;Model-running-shoes-s99;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890453;99;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red100;Model-running-shoes-s100;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890454;100;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red101;Model-running-shoes-s101;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890455;101;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red102;Model-running-shoes-s102;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890456;102;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red103;Model-running-shoes-s103;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890457;103;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red104;Model-running-shoes-s104;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890458;104;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red105;Model-running-shoes-s105;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890459;105;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red106;Model-running-shoes-s106;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890460;106;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red107;Model-running-shoes-s107;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890461;107;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red108;Model-running-shoes-s108;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890462;108;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red109;Model-running-shoes-s109;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890463;109;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red110;Model-running-shoes-s110;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890464;110;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red111;Model-running-shoes-s111;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890465;111;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red112;Model-running-shoes-s112;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890466;112;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red113;Model-running-shoes-s113;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890467;113;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red114;Model-running-shoes-s114;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890468;114;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red115;Model-running-shoes-s115;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890469;115;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red116;Model-running-shoes-s116;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890470;116;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red117;Model-running-shoes-s117;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890471;117;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red118;Model-running-shoes-s118;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890472;118;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red119;Model-running-shoes-s119;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890473;119;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red120;Model-running-shoes-s120;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890474;120;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red121;Model-running-shoes-s121;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890475;121;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red122;Model-running-shoes-s122;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890476;122;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red123;Model-running-shoes-s123;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890477;123;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red124;Model-running-shoes-s124;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890478;124;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red125;Model-running-shoes-s125;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890479;125;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
Running-shoes-s-red126;Model-running-shoes-s126;;master_men_shoes;summer_2017;red;;;Running shoes;;1234567890480;126;;;;;shoes;;;;;;leather;;;;;;;Running shoes;;;;s;;;;;;Running shoes S;;;
