sku;categories;enabled;family;groups;brand;care_instructions;collection;color;composition;description-de_DE-ecommerce;description-en_US-ecommerce;description-fr_FR-ecommerce;EAN;erp_name-de_DE;erp_name-en_US;erp_name-fr_FR;eu_shoes_size;image_1;keywords-de_DE;keywords-en_US;keywords-fr_FR;meta_description-de_DE;meta_description-en_US;meta_description-fr_FR;meta_title-de_DE;meta_title-en_US;meta_title-fr_FR;name-de_DE;name-en_US;name-fr_FR;notice;price-EUR;price-USD;size;sole_composition;supplier;top_composition;variation_image;variation_name-de_DE;variation_name-en_US;variation_name-fr_FR;wash_temperature;weight;weight-unit
diana_7;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Diana - Blue;;;600;GRAM
diana_8;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Diana - Pink;;;800;GRAM
diana_9;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Diana - Pink;;;800;GRAM
aphrodite_8;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Aphrodite - Pink;;;800;GRAM
diana_10;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Diana - Pink;;;800;GRAM
diana_11;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Diana - Pink;;;;
diana_12;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Diana - Pink;;;;
diana_0;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Diana - Red;;;900;GRAM
diana_1;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Diana - Red;;;900;GRAM
diana_2;master_women_dresses,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Diana - Red;;;800;GRAM
dionysos_2;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Dionysos - Blue;;;800;GRAM
dionysos_3;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Dionysos - Blue;;;800;GRAM
dionysos_4;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Dionysos - Blue;;;;
dionysos_5;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Dionysos - Pink;;;800;GRAM
aphrodite_9;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Aphrodite - Pink;;;800;GRAM
dionysos_6;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Dionysos - Pink;;;800;GRAM
dionysos_7;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Dionysos - Pink;;;800;GRAM
dionysos_8;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Dionysos - Pink;;;600;GRAM
dionysos_0;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Dionysos - Red;;;900;GRAM
dionysos_1;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Dionysos - Red;;;800;GRAM
dionysos_9;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Dionysos - Yellow;;;800;GRAM
dionysos_10;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Dionysos - Yellow;;;800;GRAM
dionysos_11;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Dionysos - Yellow;;;800;GRAM
dionysos_12;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Dionysos - Yellow;;;600;GRAM
dressshoe_9;master_men_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;Dress shoe - Grey;;;900;GRAM
aphrodite_10;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Aphrodite - Pink;;;800;GRAM
dressshoe_10;master_men_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;Dress shoe - Grey;;;900;GRAM
dressshoe_11;master_men_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;390;;;;;;;;;;;;;;;;;;;;;;;Dress shoe - Grey;;;800;GRAM
dressshoe_12;master_men_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;370;;;;;;;;;;;;;;;;;;;;;;;Dress shoe - Grey;;;800;GRAM
dressshoe_13;master_men_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;Dress shoe - Grey;;;800;GRAM
eris_2;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Eris - Blue;;;800;GRAM
eris_3;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Eris - Blue;;;800;GRAM
eris_4;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Eris - Blue;;;800;GRAM
eris_0;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;orange;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Eris - Orange;;;900;GRAM
eris_1;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;orange;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Eris - Orange;;;800;GRAM
eris_5;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Eris - Pink;;;800;GRAM
aphrodite_11;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Aphrodite - Pink;;;;
eris_6;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Eris - Pink;;;800;GRAM
eris_7;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Eris - Pink;;;800;GRAM
eris_8;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Eris - Pink;;;;
eris_9;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Eris - Yellow;;;800;GRAM
eris_10;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Eris - Yellow;;;800;GRAM
eris_11;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Eris - Yellow;;;800;GRAM
eris_12;master_women_shirts,print_clothing,supplier_zaro;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Eris - Yellow;;;600;GRAM
galesh_4;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;Galesh shoe - Black;;;900;GRAM
galesh_5;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;Galesh shoe - Black;;;900;GRAM
galesh_6;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;390;;;;;;;;;;;;;;;;;;;;;;;Galesh shoe - Black;;;800;GRAM
aphrodite_12;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Aphrodite - Pink;;;;
galesh_7;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;Galesh shoe - Black;;;800;GRAM
galesh_8;master_men_shoes,print_shoes,supplier_abibas;1;shoes;;;;;black;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;Galesh shoe - Black;;;800;GRAM
hades_3;master_men_pants_jeans,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hades - Blue;;;800;GRAM
hades_4;master_men_pants_jeans,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hades - Blue;;;;
hades_5;master_men_pants_jeans,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hades - Blue;;;800;GRAM
hades_0;master_men_pants_jeans,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hades - Red;;;900;GRAM
hades_1;master_men_pants_jeans,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hades - Red;;;900;GRAM
hades_2;master_men_pants_jeans,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hades - Red;;;800;GRAM
hefaistos_3;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hefaistos - Blue;;;800;GRAM
hefaistos_4;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hefaistos - Blue;;;800;GRAM
aphrodite_0;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Aphrodite - Red;;;900;GRAM
hefaistos_5;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hefaistos - Blue;;;;
hefaistos_6;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hefaistos - Blue;;;800;GRAM
hefaistos_7;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Hefaistos - Blue;;;600;GRAM
hefaistos_8;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hefaistos - Pink;;;800;GRAM
hefaistos_9;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hefaistos - Pink;;;800;GRAM
hefaistos_10;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hefaistos - Pink;;;800;GRAM
hefaistos_11;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hefaistos - Pink;;;;
hefaistos_12;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Hefaistos - Pink;;;;
hefaistos_0;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hefaistos - Red;;;900;GRAM
hefaistos_1;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hefaistos - Red;;;900;GRAM
aphrodite_1;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Aphrodite - Red;;;900;GRAM
hefaistos_2;master_men_pants_shorts,supplier_mongo;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hefaistos - Red;;;800;GRAM
hera_2;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hera - Blue;;;800;GRAM
hera_3;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hera - Blue;;;800;GRAM
hera_4;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hera - Blue;;;;
hera_5;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hera - Pink;;;800;GRAM
hera_6;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hera - Pink;;;800;GRAM
hera_7;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hera - Pink;;;800;GRAM
hera_8;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Hera - Pink;;;600;GRAM
hera_0;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hera - Red;;;900;GRAM
hera_1;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hera - Red;;;800;GRAM
aphrodite_2;master_women_blouses,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Aphrodite - Red;;;800;GRAM
hera_9;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hera - Yellow;;;800;GRAM
hera_10;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hera - Yellow;;;800;GRAM
hera_11;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hera - Yellow;;;800;GRAM
hera_12;master_women_shirts,print_clothing,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Hera - Yellow;;;600;GRAM
hermes_2;master_men_blazers,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hermes - Blue;;;800;GRAM
hermes_3;master_men_blazers,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hermes - Blue;;;800;GRAM
hermes_4;master_men_blazers,supplier_mongo;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hermes - Blue;;;800;GRAM
hermes_0;master_men_blazers,supplier_mongo;1;clothing;;;;;orange;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hermes - Orange;;;900;GRAM
hermes_1;master_men_blazers,supplier_mongo;1;clothing;;;;;orange;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hermes - Orange;;;800;GRAM
hermes_5;master_men_blazers,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hermes - Pink;;;800;GRAM
amor_4;master_men_blazers,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Amor - Blue;;;;
apollon_2;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Apollon - Blue;;;800;GRAM
hermes_6;master_men_blazers,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hermes - Pink;;;800;GRAM
hermes_7;master_men_blazers,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hermes - Pink;;;800;GRAM
hermes_8;master_men_blazers,supplier_mongo;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Hermes - Pink;;;;
hermes_9;master_men_blazers,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hermes - Yellow;;;800;GRAM
hermes_10;master_men_blazers,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hermes - Yellow;;;800;GRAM
hermes_11;master_men_blazers,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Hermes - Yellow;;;800;GRAM
hermes_12;master_men_blazers,supplier_mongo;1;clothing;;;;;yellow;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Hermes - Yellow;;;600;GRAM
hestia_3;master_women_blouses_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hestia - Blue;;;800;GRAM
hestia_4;master_women_blouses_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hestia - Blue;;;;
hestia_5;master_women_blouses_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hestia - Blue;;;800;GRAM
apollon_3;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Apollon - Blue;;;800;GRAM
hestia_0;master_women_blouses_deals,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Hestia - Red;;;900;GRAM
hestia_1;master_women_blouses_deals,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Hestia - Red;;;900;GRAM
hestia_2;master_women_blouses_deals,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Hestia - Red;;;800;GRAM
jellyshoes_7;master_women_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;Jelly shoe - Grey;;;;
jellyshoes_6;master_women_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;Jelly shoe - Grey;;;;
jellyshoes_8;master_women_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;390;;;;;;;;;;;;;;;;;;;;;;;Jelly shoe - Grey;;;800;GRAM
jellyshoes_9;master_women_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;Jelly shoe - Grey;;;800;GRAM
jellyshoes_10;master_women_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;370;;;;;;;;;;;;;;;;;;;;;;;Jelly shoe - Grey;;;800;GRAM
jellyshoes_11;master_women_shoes,supplier_abibas;1;shoes;;;;;grey;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;Jelly shoe - Grey;;;800;GRAM
juno_3;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Juno - Blue;;;800;GRAM
apollon_4;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Apollon - Blue;;;;
juno_4;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Juno - Blue;;;800;GRAM
juno_5;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Juno - Blue;;;;
juno_6;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Juno - Blue;;;800;GRAM
juno_7;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;blue;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Juno - Blue;;;600;GRAM
juno_8;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Juno - Pink;;;800;GRAM
juno_9;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;m00;;;;;;Juno - Pink;;;800;GRAM
juno_10;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Juno - Pink;;;800;GRAM
juno_11;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;s00;;;;;;Juno - Pink;;;;
juno_12;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xs0;;;;;;Juno - Pink;;;;
juno_0;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xxl;;;;;;Juno - Red;;;900;GRAM
apollon_5;master_men_blazers_deals,supplier_zaro;1;clothing;;;;;pink;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Apollon - Pink;;;800;GRAM
juno_1;master_women_blouses_deals,print_clothing,supplier_zaro;1;clothing;;;;;red;;;;;;;;;;;;;;;;;;;;;;;;;;xl0;;;;;;Juno - Red;;;900;GRAM
